slice_id,dataset,scene_id,split
SSDD_00174,SSDD,scene_02,train
SSDD_00175,SSDD,scene_02,train
SSDD_00176,SSDD,scene_02,train
SSDD_00177,SSDD,scene_02,train
SSDD_00178,SSDD,scene_02,train
SSDD_00179,SSDD,scene_02,train
SSDD_00180,SSDD,scene_02,train
SSDD_00181,SSDD,scene_02,train
SSDD_00182,SSDD,scene_02,train
SSDD_00183,SSDD,scene_02,train
SSDD_00184,SSDD,scene_02,train
SSDD_00185,SSDD,scene_02,train
SSDD_00186,SSDD,scene_02,train
SSDD_00187,SSDD,scene_02,train
SSDD_00188,SSDD,scene_02,train
SSDD_00189,SSDD,scene_02,train
SSDD_00190,SSDD,scene_02,train
SSDD_00191,SSDD,scene_02,train
SSDD_00192,SSDD,scene_02,train
SSDD_00193,SSDD,scene_02,train
SSDD_00194,SSDD,scene_02,train
SSDD_00195,SSDD,scene_02,train
SSDD_00196,SSDD,scene_02,train
SSDD_00197,SSDD,scene_02,train
SSDD_00198,SSDD,scene_02,train
SSDD_00199,SSDD,scene_02,train
SSDD_00200,SSDD,scene_02,train
SSDD_00201,SSDD,scene_02,train
SSDD_00202,SSDD,scene_02,train
SSDD_00203,SSDD,scene_02,train
SSDD_00204,SSDD,scene_02,train
SSDD_00205,SSDD,scene_02,train
SSDD_00206,SSDD,scene_02,train
SSDD_00207,SSDD,scene_02,train
SSDD_00208,SSDD,scene_02,train
SSDD_00209,SSDD,scene_02,train
SSDD_00210,SSDD,scene_02,train
SSDD_00211,SSDD,scene_02,train
SSDD_00212,SSDD,scene_02,train
SSDD_00213,SSDD,scene_03,train
SSDD_00214,SSDD,scene_03,train
SSDD_00215,SSDD,scene_03,train
SSDD_00216,SSDD,scene_03,train
SSDD_00217,SSDD,scene_03,train
SSDD_00218,SSDD,scene_03,train
SSDD_00219,SSDD,scene_03,train
SSDD_00220,SSDD,scene_03,train
SSDD_00221,SSDD,scene_03,train
SSDD_00222,SSDD,scene_03,train
SSDD_00223,SSDD,scene_03,train
SSDD_00224,SSDD,scene_03,train
SSDD_00225,SSDD,scene_03,train
SSDD_00226,SSDD,scene_03,train
SSDD_00227,SSDD,scene_03,train
SSDD_00228,SSDD,scene_03,train
SSDD_00229,SSDD,scene_03,train
SSDD_00230,SSDD,scene_03,train
SSDD_00231,SSDD,scene_03,train
SSDD_00232,SSDD,scene_03,train
SSDD_00233,SSDD,scene_03,train
SSDD_00234,SSDD,scene_03,train
SSDD_00235,SSDD,scene_03,train
SSDD_00236,SSDD,scene_03,train
SSDD_00237,SSDD,scene_03,train
SSDD_00238,SSDD,scene_03,train
SSDD_00239,SSDD,scene_03,train
SSDD_00240,SSDD,scene_03,train
SSDD_00241,SSDD,scene_03,train
SSDD_00242,SSDD,scene_03,train
SSDD_00243,SSDD,scene_03,train
SSDD_00244,SSDD,scene_03,train
SSDD_00245,SSDD,scene_03,train
SSDD_00246,SSDD,scene_03,train
SSDD_00247,SSDD,scene_03,train
SSDD_00248,SSDD,scene_03,train
SSDD_00249,SSDD,scene_03,train
SSDD_00250,SSDD,scene_03,train
SSDD_00251,SSDD,scene_03,train
SSDD_00252,SSDD,scene_03,train
SSDD_00253,SSDD,scene_03,train
SSDD_00254,SSDD,scene_03,train
SSDD_00255,SSDD,scene_03,train
SSDD_00256,SSDD,scene_03,train
SSDD_00257,SSDD,scene_03,train
SSDD_00258,SSDD,scene_03,train
SSDD_00259,SSDD,scene_03,train
SSDD_00260,SSDD,scene_03,train
SSDD_00261,SSDD,scene_03,train
SSDD_00262,SSDD,scene_03,train
SSDD_00263,SSDD,scene_03,train
SSDD_00264,SSDD,scene_03,train
SSDD_00265,SSDD,scene_03,train
SSDD_00266,SSDD,scene_03,train
SSDD_00267,SSDD,scene_03,train
SSDD_00268,SSDD,scene_03,train
SSDD_00269,SSDD,scene_03,train
SSDD_00270,SSDD,scene_03,train
SSDD_00271,SSDD,scene_03,train
SSDD_00272,SSDD,scene_03,train
SSDD_00273,SSDD,scene_03,train
SSDD_00274,SSDD,scene_03,train
SSDD_00275,SSDD,scene_03,train
SSDD_00276,SSDD,scene_03,train
SSDD_00277,SSDD,scene_03,train
SSDD_00278,SSDD,scene_03,train
SSDD_00279,SSDD,scene_03,train
SSDD_00280,SSDD,scene_03,train
SSDD_00281,SSDD,scene_03,train
SSDD_00282,SSDD,scene_03,train
SSDD_00283,SSDD,scene_03,train
SSDD_00284,SSDD,scene_03,train
SSDD_00285,SSDD,scene_03,train
SSDD_00286,SSDD,scene_03,train
SSDD_00287,SSDD,scene_03,train
SSDD_00288,SSDD,scene_03,train
SSDD_00289,SSDD,scene_03,train
SSDD_00290,SSDD,scene_03,train
SSDD_00291,SSDD,scene_03,train
SSDD_00292,SSDD,scene_03,train
SSDD_00293,SSDD,scene_03,train
SSDD_00294,SSDD,scene_03,train
SSDD_00295,SSDD,scene_03,train
SSDD_00296,SSDD,scene_03,train
SSDD_00297,SSDD,scene_03,train
SSDD_00298,SSDD,scene_03,train
SSDD_00299,SSDD,scene_03,train
SSDD_00300,SSDD,scene_03,train
SSDD_00301,SSDD,scene_03,train
SSDD_00302,SSDD,scene_03,train
SSDD_00303,SSDD,scene_03,train
SSDD_00304,SSDD,scene_03,train
SSDD_00305,SSDD,scene_03,train
SSDD_00306,SSDD,scene_03,train
SSDD_00307,SSDD,scene_03,train
SSDD_00308,SSDD,scene_03,train
SSDD_00309,SSDD,scene_03,train
SSDD_00310,SSDD,scene_03,train
SSDD_00311,SSDD,scene_03,train
SSDD_00312,SSDD,scene_03,train
SSDD_00313,SSDD,scene_03,train
SSDD_00314,SSDD,scene_03,train
SSDD_00315,SSDD,scene_03,train
SSDD_00316,SSDD,scene_03,train
SSDD_00317,SSDD,scene_03,train
SSDD_00318,SSDD,scene_03,train
SSDD_00319,SSDD,scene_04,train
SSDD_00320,SSDD,scene_04,train
SSDD_00321,SSDD,scene_04,train
SSDD_00322,SSDD,scene_04,train
SSDD_00323,SSDD,scene_04,train
SSDD_00324,SSDD,scene_04,train
SSDD_00325,SSDD,scene_04,train
SSDD_00326,SSDD,scene_04,train
SSDD_00327,SSDD,scene_04,train
SSDD_00328,SSDD,scene_04,train
SSDD_00329,SSDD,scene_04,train
SSDD_00330,SSDD,scene_04,train
SSDD_00331,SSDD,scene_04,train
SSDD_00332,SSDD,scene_04,train
SSDD_00333,SSDD,scene_04,train
SSDD_00334,SSDD,scene_04,train
SSDD_00335,SSDD,scene_04,train
SSDD_00336,SSDD,scene_04,train
SSDD_00337,SSDD,scene_04,train
SSDD_00338,SSDD,scene_04,train
SSDD_00339,SSDD,scene_04,train
SSDD_00340,SSDD,scene_04,train
SSDD_00341,SSDD,scene_04,train
SSDD_00342,SSDD,scene_04,train
SSDD_00343,SSDD,scene_04,train
SSDD_00344,SSDD,scene_04,train
SSDD_00345,SSDD,scene_04,train
SSDD_00346,SSDD,scene_04,train
SSDD_00347,SSDD,scene_04,train
SSDD_00348,SSDD,scene_04,train
SSDD_00349,SSDD,scene_04,train
SSDD_00350,SSDD,scene_04,train
SSDD_00351,SSDD,scene_04,train
SSDD_00352,SSDD,scene_04,train
SSDD_00353,SSDD,scene_04,train
SSDD_00354,SSDD,scene_04,train
SSDD_00355,SSDD,scene_04,train
SSDD_00356,SSDD,scene_04,train
SSDD_00357,SSDD,scene_04,train
SSDD_00358,SSDD,scene_04,train
SSDD_00359,SSDD,scene_04,train
SSDD_00360,SSDD,scene_04,train
SSDD_00361,SSDD,scene_04,train
SSDD_00362,SSDD,scene_04,train
SSDD_00363,SSDD,scene_04,train
SSDD_00364,SSDD,scene_04,train
SSDD_00365,SSDD,scene_04,train
SSDD_00366,SSDD,scene_04,train
SSDD_00367,SSDD,scene_04,train
SSDD_00368,SSDD,scene_04,train
SSDD_00369,SSDD,scene_04,train
SSDD_00370,SSDD,scene_04,train
SSDD_00371,SSDD,scene_04,train
SSDD_00372,SSDD,scene_04,train
SSDD_00373,SSDD,scene_04,train
SSDD_00374,SSDD,scene_04,train
SSDD_00375,SSDD,scene_04,train
SSDD_00376,SSDD,scene_04,train
SSDD_00377,SSDD,scene_04,train
SSDD_00378,SSDD,scene_04,train
SSDD_00379,SSDD,scene_04,train
SSDD_00380,SSDD,scene_04,train
SSDD_00381,SSDD,scene_04,train
SSDD_00382,SSDD,scene_04,train
SSDD_00383,SSDD,scene_04,train
SSDD_00384,SSDD,scene_04,train
SSDD_00385,SSDD,scene_04,train
SSDD_00386,SSDD,scene_04,train
SSDD_00387,SSDD,scene_04,train
SSDD_00388,SSDD,scene_04,train
SSDD_00389,SSDD,scene_04,train
SSDD_00390,SSDD,scene_04,train
SSDD_00391,SSDD,scene_04,train
SSDD_00392,SSDD,scene_04,train
SSDD_00393,SSDD,scene_04,train
SSDD_00394,SSDD,scene_04,train
SSDD_00395,SSDD,scene_04,train
SSDD_00396,SSDD,scene_04,train
SSDD_00397,SSDD,scene_04,train
SSDD_00398,SSDD,scene_04,train
SSDD_00399,SSDD,scene_04,train
SSDD_00400,SSDD,scene_04,train
SSDD_00401,SSDD,scene_04,train
SSDD_00402,SSDD,scene_04,train
SSDD_00403,SSDD,scene_04,train
SSDD_00404,SSDD,scene_04,train
SSDD_00405,SSDD,scene_04,train
SSDD_00406,SSDD,scene_04,train
SSDD_00407,SSDD,scene_04,train
SSDD_00408,SSDD,scene_04,train
SSDD_00409,SSDD,scene_04,train
SSDD_00410,SSDD,scene_04,train
SSDD_00411,SSDD,scene_04,train
SSDD_00412,SSDD,scene_04,train
SSDD_00413,SSDD,scene_04,train
SSDD_00414,SSDD,scene_04,train
SSDD_00415,SSDD,scene_04,train
SSDD_00416,SSDD,scene_04,train
SSDD_00417,SSDD,scene_04,train
SSDD_00418,SSDD,scene_04,train
SSDD_00419,SSDD,scene_04,train
SSDD_00420,SSDD,scene_04,train
SSDD_00421,SSDD,scene_04,train
SSDD_00422,SSDD,scene_04,train
SSDD_00423,SSDD,scene_04,train
SSDD_00424,SSDD,scene_04,train
SSDD_00425,SSDD,scene_05,train
SSDD_00426,SSDD,scene_05,train
SSDD_00427,SSDD,scene_05,train
SSDD_00428,SSDD,scene_05,train
SSDD_00429,SSDD,scene_05,train
SSDD_00430,SSDD,scene_05,train
SSDD_00431,SSDD,scene_05,train
SSDD_00432,SSDD,scene_05,train
SSDD_00433,SSDD,scene_05,train
SSDD_00434,SSDD,scene_05,train
SSDD_00435,SSDD,scene_05,train
SSDD_00436,SSDD,scene_05,train
SSDD_00437,SSDD,scene_05,train
SSDD_00438,SSDD,scene_05,train
SSDD_00439,SSDD,scene_05,train
SSDD_00440,SSDD,scene_05,train
SSDD_00441,SSDD,scene_05,train
SSDD_00442,SSDD,scene_05,train
SSDD_00443,SSDD,scene_05,train
SSDD_00444,SSDD,scene_05,train
SSDD_00445,SSDD,scene_05,train
SSDD_00446,SSDD,scene_05,train
SSDD_00447,SSDD,scene_05,train
SSDD_00448,SSDD,scene_05,train
SSDD_00449,SSDD,scene_05,train
SSDD_00450,SSDD,scene_05,train
SSDD_00451,SSDD,scene_05,train
SSDD_00452,SSDD,scene_05,train
SSDD_00453,SSDD,scene_05,train
SSDD_00454,SSDD,scene_05,train
SSDD_00455,SSDD,scene_05,train
SSDD_00456,SSDD,scene_05,train
SSDD_00457,SSDD,scene_05,train
SSDD_00458,SSDD,scene_05,train
SSDD_00459,SSDD,scene_05,train
SSDD_00460,SSDD,scene_05,train
SSDD_00461,SSDD,scene_05,train
SSDD_00462,SSDD,scene_05,train
SSDD_00463,SSDD,scene_05,train
SSDD_00464,SSDD,scene_05,train
SSDD_00465,SSDD,scene_05,train
SSDD_00466,SSDD,scene_05,train
SSDD_00467,SSDD,scene_05,train
SSDD_00468,SSDD,scene_05,train
SSDD_00469,SSDD,scene_05,train
SSDD_00470,SSDD,scene_05,train
SSDD_00471,SSDD,scene_05,train
SSDD_00472,SSDD,scene_05,train
SSDD_00473,SSDD,scene_05,train
SSDD_00474,SSDD,scene_05,train
SSDD_00475,SSDD,scene_05,train
SSDD_00476,SSDD,scene_05,train
SSDD_00477,SSDD,scene_05,train
SSDD_00478,SSDD,scene_05,train
SSDD_00479,SSDD,scene_05,train
SSDD_00480,SSDD,scene_05,train
SSDD_00481,SSDD,scene_05,train
SSDD_00482,SSDD,scene_05,train
SSDD_00483,SSDD,scene_05,train
SSDD_00484,SSDD,scene_05,train
SSDD_00485,SSDD,scene_05,train
SSDD_00486,SSDD,scene_05,train
SSDD_00487,SSDD,scene_05,train
SSDD_00488,SSDD,scene_05,train
SSDD_00489,SSDD,scene_05,train
SSDD_00490,SSDD,scene_05,train
SSDD_00491,SSDD,scene_05,train
SSDD_00492,SSDD,scene_05,train
SSDD_00493,SSDD,scene_05,train
SSDD_00494,SSDD,scene_05,train
SSDD_00495,SSDD,scene_05,train
SSDD_00496,SSDD,scene_05,train
SSDD_00497,SSDD,scene_05,train
SSDD_00498,SSDD,scene_05,train
SSDD_00499,SSDD,scene_05,train
SSDD_00500,SSDD,scene_05,train
SSDD_00501,SSDD,scene_05,train
SSDD_00502,SSDD,scene_05,train
SSDD_00503,SSDD,scene_05,train
SSDD_00504,SSDD,scene_05,train
SSDD_00505,SSDD,scene_05,train
SSDD_00506,SSDD,scene_05,train
SSDD_00507,SSDD,scene_05,train
SSDD_00508,SSDD,scene_05,train
SSDD_00509,SSDD,scene_05,train
SSDD_00510,SSDD,scene_05,train
SSDD_00511,SSDD,scene_05,train
SSDD_00512,SSDD,scene_05,train
SSDD_00513,SSDD,scene_05,train
SSDD_00514,SSDD,scene_05,train
SSDD_00515,SSDD,scene_05,train
SSDD_00516,SSDD,scene_05,train
SSDD_00517,SSDD,scene_05,train
SSDD_00518,SSDD,scene_05,train
SSDD_00519,SSDD,scene_05,train
SSDD_00520,SSDD,scene_05,train
SSDD_00521,SSDD,scene_05,train
SSDD_00522,SSDD,scene_05,train
SSDD_00523,SSDD,scene_05,train
SSDD_00524,SSDD,scene_05,train
SSDD_00525,SSDD,scene_05,train
SSDD_00526,SSDD,scene_05,train
SSDD_00527,SSDD,scene_05,train
SSDD_00528,SSDD,scene_05,train
SSDD_00529,SSDD,scene_05,train
SSDD_00530,SSDD,scene_05,train
SSDD_00531,SSDD,scene_06,train
SSDD_00532,SSDD,scene_06,train
SSDD_00533,SSDD,scene_06,train
SSDD_00534,SSDD,scene_06,train
SSDD_00535,SSDD,scene_06,train
SSDD_00536,SSDD,scene_06,train
SSDD_00537,SSDD,scene_06,train
SSDD_00538,SSDD,scene_06,train
SSDD_00539,SSDD,scene_06,train
SSDD_00540,SSDD,scene_06,train
SSDD_00541,SSDD,scene_06,train
SSDD_00542,SSDD,scene_06,train
SSDD_00543,SSDD,scene_06,train
SSDD_00544,SSDD,scene_06,train
SSDD_00545,SSDD,scene_06,train
SSDD_00546,SSDD,scene_06,train
SSDD_00547,SSDD,scene_06,train
SSDD_00548,SSDD,scene_06,train
SSDD_00549,SSDD,scene_06,train
SSDD_00550,SSDD,scene_06,train
SSDD_00551,SSDD,scene_06,train
SSDD_00552,SSDD,scene_06,train
SSDD_00553,SSDD,scene_06,train
SSDD_00554,SSDD,scene_06,train
SSDD_00555,SSDD,scene_06,train
SSDD_00556,SSDD,scene_06,train
SSDD_00557,SSDD,scene_06,train
SSDD_00558,SSDD,scene_06,train
SSDD_00559,SSDD,scene_06,train
SSDD_00560,SSDD,scene_06,train
SSDD_00561,SSDD,scene_06,train
SSDD_00562,SSDD,scene_06,train
SSDD_00563,SSDD,scene_06,train
SSDD_00564,SSDD,scene_06,train
SSDD_00565,SSDD,scene_06,train
SSDD_00566,SSDD,scene_06,train
SSDD_00567,SSDD,scene_06,train
SSDD_00568,SSDD,scene_06,train
SSDD_00569,SSDD,scene_06,train
SSDD_00570,SSDD,scene_06,train
SSDD_00571,SSDD,scene_06,train
SSDD_00572,SSDD,scene_06,train
SSDD_00573,SSDD,scene_06,train
SSDD_00574,SSDD,scene_06,train
SSDD_00575,SSDD,scene_06,train
SSDD_00576,SSDD,scene_06,train
SSDD_00577,SSDD,scene_06,train
SSDD_00578,SSDD,scene_06,train
SSDD_00579,SSDD,scene_06,train
SSDD_00580,SSDD,scene_06,train
SSDD_00581,SSDD,scene_06,train
SSDD_00582,SSDD,scene_06,train
SSDD_00583,SSDD,scene_06,train
SSDD_00584,SSDD,scene_06,train
SSDD_00585,SSDD,scene_06,train
SSDD_00586,SSDD,scene_06,train
SSDD_00587,SSDD,scene_06,train
SSDD_00588,SSDD,scene_06,train
SSDD_00589,SSDD,scene_06,train
SSDD_00590,SSDD,scene_06,train
SSDD_00591,SSDD,scene_06,train
SSDD_00592,SSDD,scene_06,train
SSDD_00593,SSDD,scene_06,train
SSDD_00594,SSDD,scene_06,train
SSDD_00595,SSDD,scene_06,train
SSDD_00596,SSDD,scene_06,train
SSDD_00597,SSDD,scene_06,train
SSDD_00598,SSDD,scene_06,train
SSDD_00599,SSDD,scene_06,train
SSDD_00600,SSDD,scene_06,train
SSDD_00601,SSDD,scene_06,train
SSDD_00602,SSDD,scene_06,train
SSDD_00603,SSDD,scene_06,train
SSDD_00604,SSDD,scene_06,train
SSDD_00605,SSDD,scene_06,train
SSDD_00606,SSDD,scene_06,train
SSDD_00607,SSDD,scene_06,train
SSDD_00608,SSDD,scene_06,train
SSDD_00609,SSDD,scene_06,train
SSDD_00610,SSDD,scene_06,train
SSDD_00611,SSDD,scene_06,train
SSDD_00612,SSDD,scene_06,train
SSDD_00613,SSDD,scene_06,train
SSDD_00614,SSDD,scene_06,train
SSDD_00615,SSDD,scene_06,train
SSDD_00616,SSDD,scene_06,train
SSDD_00617,SSDD,scene_06,train
SSDD_00618,SSDD,scene_06,train
SSDD_00619,SSDD,scene_06,train
SSDD_00620,SSDD,scene_06,train
SSDD_00621,SSDD,scene_06,train
SSDD_00622,SSDD,scene_06,train
SSDD_00623,SSDD,scene_06,train
SSDD_00624,SSDD,scene_06,train
SSDD_00625,SSDD,scene_06,train
SSDD_00626,SSDD,scene_06,train
SSDD_00627,SSDD,scene_06,train
SSDD_00628,SSDD,scene_06,train
SSDD_00629,SSDD,scene_06,train
SSDD_00630,SSDD,scene_06,train
SSDD_00631,SSDD,scene_06,train
SSDD_00632,SSDD,scene_06,train
SSDD_00633,SSDD,scene_06,train
SSDD_00634,SSDD,scene_06,train
SSDD_00635,SSDD,scene_06,train
SSDD_00636,SSDD,scene_06,train
SSDD_00637,SSDD,scene_07,train
SSDD_00638,SSDD,scene_07,train
SSDD_00639,SSDD,scene_07,train
SSDD_00640,SSDD,scene_07,train
SSDD_00641,SSDD,scene_07,train
SSDD_00642,SSDD,scene_07,train
SSDD_00643,SSDD,scene_07,train
SSDD_00644,SSDD,scene_07,train
SSDD_00645,SSDD,scene_07,train
SSDD_00646,SSDD,scene_07,train
SSDD_00647,SSDD,scene_07,train
SSDD_00648,SSDD,scene_07,train
SSDD_00649,SSDD,scene_07,train
SSDD_00650,SSDD,scene_07,train
SSDD_00651,SSDD,scene_07,train
SSDD_00652,SSDD,scene_07,train
SSDD_00653,SSDD,scene_07,train
SSDD_00654,SSDD,scene_07,train
SSDD_00655,SSDD,scene_07,train
SSDD_00656,SSDD,scene_07,train
SSDD_00657,SSDD,scene_07,train
SSDD_00658,SSDD,scene_07,train
SSDD_00659,SSDD,scene_07,train
SSDD_00660,SSDD,scene_07,train
SSDD_00661,SSDD,scene_07,train
SSDD_00662,SSDD,scene_07,train
SSDD_00663,SSDD,scene_07,train
SSDD_00664,SSDD,scene_07,train
SSDD_00665,SSDD,scene_07,train
SSDD_00666,SSDD,scene_07,train
SSDD_00667,SSDD,scene_07,train
SSDD_00668,SSDD,scene_07,train
SSDD_00669,SSDD,scene_07,train
SSDD_00670,SSDD,scene_07,train
SSDD_00671,SSDD,scene_07,train
SSDD_00672,SSDD,scene_07,train
SSDD_00673,SSDD,scene_07,train
SSDD_00674,SSDD,scene_07,train
SSDD_00675,SSDD,scene_07,train
SSDD_00676,SSDD,scene_07,train
SSDD_00677,SSDD,scene_07,train
SSDD_00678,SSDD,scene_07,train
SSDD_00679,SSDD,scene_07,train
SSDD_00680,SSDD,scene_07,train
SSDD_00681,SSDD,scene_07,train
SSDD_00682,SSDD,scene_07,train
SSDD_00683,SSDD,scene_07,train
SSDD_00684,SSDD,scene_07,train
SSDD_00685,SSDD,scene_07,train
SSDD_00686,SSDD,scene_07,train
SSDD_00687,SSDD,scene_07,train
SSDD_00688,SSDD,scene_07,train
SSDD_00689,SSDD,scene_07,train
SSDD_00690,SSDD,scene_07,train
SSDD_00691,SSDD,scene_07,train
SSDD_00692,SSDD,scene_07,train
SSDD_00693,SSDD,scene_07,train
SSDD_00694,SSDD,scene_07,train
SSDD_00695,SSDD,scene_07,train
SSDD_00696,SSDD,scene_07,train
SSDD_00697,SSDD,scene_07,train
SSDD_00698,SSDD,scene_07,train
